x;TYPE;LIBELLE;IMP;NB;URL
x;BASKET_SPORTIF;DeAndre Jordan;42;1;https://www.lequipe.fr/Basket/BasketFicheJoueur1553.html
x;BASKET_SPORTIF;Olivia Epoupa;41;5;https://www.lequipe.fr/Basket/BasketFicheJoueur164.html
x;FOOTBALL_SPORTIF;Norberto Murara Neto;40;2;https://www.lequipe.fr/Football/FootballFicheJoueur40460.html
x;VOILE_SPORTIF;Marie RIOU;40;2;https://www.lequipe.fr/Voile/AussiFicheAthlete6692.html
x;BASKET_SPORTIF;Khris Middleton;39;1;https://www.lequipe.fr/Basket/BasketFicheJoueur7139.html
x;VOILE_SPORTIF;Billy BESSON;38;3;https://www.lequipe.fr/Voile/AussiFicheAthlete22966.html
x;BASKET_SPORTIF;Antoine Rigaudeau;37;1;https://www.lequipe.fr/Basket/BasketFicheJoueur4000000000003250.html
x;CANOE-KAYAK_SPORTIF;Wilfrid Forgues;35;1;https://www.lequipe.fr/Sport/AussiFicheAthlete12500000000030900.html
x;BASKET_SPORTIF;Jrue Holiday;35;2;https://www.lequipe.fr/Basket/BasketFicheJoueur17593.html
x;GYMNASTIQUE_SPORTIF;Thomas Bouhail;35;1;https://www.lequipe.fr/Sport/AussiFicheAthlete41261.html
x;ESCRIME_SPORTIF;Astrid Guyart;34;1;https://www.lequipe.fr/Sport/AussiFicheAthlete7809.html
x;FOOTBALL_SPORTIF;Ibrahima Baldé;32;1;https://www.lequipe.fr/Football/FootballFicheJoueur35667.html
x;BASKET_SPORTIF;Luis Scola;32;2;https://www.lequipe.fr/Basket/BasketFicheJoueur566.html
x;FOOTBALL_SPORTIF;Sabrina Delannoy;32;2;https://www.lequipe.fr/Football/FootballFicheJoueur47575.html
x;FOOTBALL_SPORTIF;Zakarya Bergdich;31;3;https://www.lequipe.fr/Football/FootballFicheJoueur35492.html
x;CYCLISME_SPORTIF;Simon Clarke;30;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur40460.html
x;FOOTBALL_SPORTIF;Cafu;29;1;https://www.lequipe.fr/Football/FootballFicheJoueur22489.html
x;ESCRIME_SPORTIF;Brice Guyart;28;3;https://www.lequipe.fr/Sport/AussiFicheAthlete3117.html
x;FOOTBALL_SPORTIF;Corine Petit;27;2;https://www.lequipe.fr/Football/FootballFicheJoueur41263.html
x;BASKET_SPORTIF;Yannis Morin;27;1;https://www.lequipe.fr/Basket/BasketFicheJoueur12500000000031000.html
x;FOOTBALL_SPORTIF;Mohamed Aboutrika;25;3;https://www.lequipe.fr/Football/FootballFicheJoueur28768.html
x;BASKET_SPORTIF;Scottie Pippen;25;1;https://www.lequipe.fr/Basket/BasketFicheJoueur12500000000051600.html
x;BASKET_SPORTIF;Laurent Sciarra;24;2;https://www.lequipe.fr/Basket/BasketFicheJoueur627.html
x;BASKET_SPORTIF;Sarunas Jasikevicius;23;1;https://www.lequipe.fr/Basket/BasketFicheJoueur9857.html
x;JUDO_SPORTIF;Matthieu Bataille;22;1;https://www.lequipe.fr/Judo/AussiFicheAthlete566.html
x;TAEKWONDO_SPORTIF;Pascal Gentil;21;1;https://www.lequipe.fr/Sport/AussiFicheAthlete4453.html
x;BASKET_SPORTIF;Patrick Mills;20;1;https://www.lequipe.fr/Basket/BasketFicheJoueur35667.html
x;BASKET_SPORTIF;Frédéric Weis;19;1;https://www.lequipe.fr/Basket/BasketFicheJoueur2681.html
x;FOOTBALL_SPORTIF;Zakaria Labyad;17;1;https://www.lequipe.fr/Football/FootballFicheJoueur35975.html
x;TRIATHLON_SPORTIF;Dorian Coninx;17;1;https://www.lequipe.fr/Sport/AussiFicheAthlete8191.html
x;CYCLISME_SPORTIF;Jason Kenny;16;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur41263.html
x;BASKET_SPORTIF;Jan Vesely;16;1;https://www.lequipe.fr/Basket/BasketFicheJoueur22489.html
x;FOOTBALL_SPORTIF;Yassine El-Kharroubi;15;1;https://www.lequipe.fr/Football/FootballFicheJoueur29558.html
x;VOILE_SPORTIF;Thomas GOYARD;14;4;https://www.lequipe.fr/Voile/AussiFicheAthlete8665.html
x;VOILE_SPORTIF;BONTEMPS Julien;14;2;https://www.lequipe.fr/Voile/AussiFicheAthlete7718.html
x;FOOTBALL_SPORTIF;Alexander N'Doumbou;14;1;https://www.lequipe.fr/Football/FootballFicheJoueur35714.html
x;ESCRIME_SPORTIF;Olga Kharlan;14;1;https://www.lequipe.fr/Sport/AussiFicheAthlete11500000000003300.html
x;FOOTBALL_SPORTIF;Rômulo;13;3;https://www.lequipe.fr/Football/FootballFicheJoueur43187.html
x;VOILE_SPORTIF;Pierre LE COQ;13;2;https://www.lequipe.fr/Voile/AussiFicheAthlete23845.html
x;FOOTBALL_SPORTIF;Chris Wood;13;3;https://www.lequipe.fr/Football/FootballFicheJoueur33201.html
x;BASKET_SPORTIF;Diana Taurasi;13;1;https://www.lequipe.fr/Basket/BasketFicheJoueur13991.html
x;TRIATHLON_SPORTIF;Léo Bergère;10;1;https://www.lequipe.fr/Sport/AussiFicheAthlete1043.html
x;BASKET_SPORTIF;Aron Baynes;10;1;https://www.lequipe.fr/Basket/BasketFicheJoueur8500000000003240.html
x;CYCLISME_SPORTIF;Elizabeth Armitstead-Deignan;9;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur9379.html
x;CYCLISME_SUR_PISTE_SPORTIF;François Pervis;9;1;https://www.lequipe.fr/Sport/AussiFicheAthlete6500000000003390.html
x;BASKET_SPORTIF;Jianlian Yi;9;1;https://www.lequipe.fr/Basket/BasketFicheJoueur12500000000059800.html
x;BASKET_SPORTIF;Florence Lepron;9;2;https://www.lequipe.fr/Basket/BasketFicheJoueur9379.html
x;TENNIS_DE_TABLE_SPORTIF;Jean-Philippe Gatien;8;1;https://www.lequipe.fr/Sport/AussiFicheAthlete61574.html
x;BASKET_SPORTIF;Greivis Vasquez;7;2;https://www.lequipe.fr/Basket/BasketFicheJoueur29558.html
x;BASKET_SPORTIF;Sarah Michel;7;2;https://www.lequipe.fr/Basket/BasketFicheJoueur12500000000051600.html
x;BASKET_SPORTIF;Yannick Souvre;7;1;https://www.lequipe.fr/Basket/BasketFicheJoueur6500000000023920.html
x;BASKET_SPORTIF;Amel Bouderra;7;1;https://www.lequipe.fr/Basket/BasketFicheJoueur35714.html
x;RUGBY_A_7_SPORTIF;Julien Candelon;6;1;https://www.lequipe.fr/Rugby-a-7/AussiFicheAthlete179216.html
x;FOOTBALL_SPORTIF;Homare Sawa;5;1;https://www.lequipe.fr/Football/FootballFicheJoueur41699.html
x;NATATION_SPORTIF;Richard Pound;5;2;https://www.lequipe.fr/Natation/NatationFicheAthlete7238.html
x;VOILE_SPORTIF;Julien D'ORTOLI;4;1;https://www.lequipe.fr/Voile/AussiFicheAthlete34673.html
x;VOILE_SPORTIF;Hélène DEFRANCE;4;2;https://www.lequipe.fr/Voile/AussiFicheAthlete6542.html
x;BASKET_SPORTIF;Miranda Ayim;3;1;https://www.lequipe.fr/Basket/BasketFicheJoueur13500000000084300.html
x;FOOTBALL_SPORTIF;Renan Bressan;2;3;https://www.lequipe.fr/Football/FootballFicheJoueur38244.html
x;VOILE_SPORTIF;Elliot WILLIS;2;1;https://www.lequipe.fr/Voile/AussiFicheAthlete15711.html
x;FOOTBALL_SPORTIF;Yuki Otsu;2;3;https://www.lequipe.fr/Football/FootballFicheJoueur42071.html
x;EQUITATION_SPORTIF;Pierre Durand;1;1;https://www.lequipe.fr/Sport/AussiFicheAthlete26261.html
x;BASKET_SPORTIF;Romane Bernies;1;1;https://www.lequipe.fr/Basket/BasketFicheJoueur4122.html
x;BASKET_SPORTIF;Alexia Chartereau;-82;1;https://www.lequipe.fr/Basket/BasketFicheJoueur9861.html
x;BASKET_SPORTIF;Marine Fauthoux;-93;1;https://www.lequipe.fr/Basket/BasketFicheJoueur5160.html
x;CYCLISME_SPORTIF;Anna Kiesenhofer;-98;4;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur179216.html
