x;TYPE;LIBELLE;IMP;NB;URL
x;TENNIS_SPORTIF;Ashleigh Barty;957;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur36094.html
x;BASKET_SPORTIF;Boris Diaw;914;7;https://www.lequipe.fr/Basket/BasketFicheJoueur1500000000009370.html
x;CYCLISME_SPORTIF;Wout Van Aert;904;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur4426.html
x;CYCLISME_SPORTIF;Alejandro Valverde;903;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur6677.html
x;NATATION_SPORTIF;Michael Phelps;899;1;https://www.lequipe.fr/Natation/NatationFicheAthlete58221.html
x;FOOTBALL_SPORTIF;Eugénie Le Sommer;897;9;https://www.lequipe.fr/Football/FootballFicheJoueur41269.html
x;FOOTBALL_SPORTIF;Wendie Renard;895;7;https://www.lequipe.fr/Football/FootballFicheJoueur41260.html
x;BASKET_SPORTIF;Nando De Colo;873;4;https://www.lequipe.fr/Basket/BasketFicheJoueur520.html
x;FOOTBALL_SPORTIF;Paulo Dybala;822;2;https://www.lequipe.fr/Football/FootballFicheJoueur46659.html
x;TENNIS_SPORTIF;Paul-Henri Mathieu;790;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur2963.html
x;FOOTBALL_SPORTIF;Younes Belhanda;727;3;https://www.lequipe.fr/Football/FootballFicheJoueur33061.html
x;CYCLISME_SPORTIF;Bradley Wiggins;682;3;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur36094.html
x;TENNIS_SPORTIF;Michaël Llodra;674;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur33061.html
x;CYCLISME_SPORTIF;Thomas Voeckler;661;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur5731.html
x;FOOTBALL_SPORTIF;Ferland Mendy;645;1;https://www.lequipe.fr/Football/FootballFicheJoueur45687.html
x;FOOTBALL_SPORTIF;Thiago Alcantara;634;2;https://www.lequipe.fr/Football/FootballFicheJoueur33077.html
x;FOOTBALL_SPORTIF;Daniel Sturridge;625;8;https://www.lequipe.fr/Football/FootballFicheJoueur26350.html
x;TENNIS_SPORTIF;Edouard Roger-Vasselin;611;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur33077.html
x;CYCLISME_SPORTIF;Geraint Thomas;596;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur41269.html
x;FOOTBALL_SPORTIF;Jordi Alba;550;5;https://www.lequipe.fr/Football/FootballFicheJoueur34728.html
x;FOOTBALL_SPORTIF;Lucas Tousart;534;3;https://www.lequipe.fr/Football/FootballFicheJoueur55869.html
x;FOOTBALL_SPORTIF;Medhi Benatia;504;1;https://www.lequipe.fr/Football/FootballFicheJoueur24825.html
x;CYCLISME_SPORTIF;Sylvain Chavanel;496;3;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur2712.html
x;CYCLISME_SPORTIF;Tom Boonen;493;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur33061.html
x;TENNIS_SPORTIF;Fiona Ferro;491;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur4238.html
x;BASKET_SPORTIF;Luka Doncic;485;4;https://www.lequipe.fr/Basket/BasketFicheJoueur2712.html
x;VTT_SPORTIF;Pauline Ferrand-Prevot;482;4;https://www.lequipe.fr/Sport/AussiFicheAthlete58221.html
x;CYCLISME_SPORTIF;Fabian Cancellara;482;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur45687.html
x;BASKET_SPORTIF;Russell Westbrook;476;3;https://www.lequipe.fr/Basket/BasketFicheJoueur2164.html
x;FOOTBALL_SPORTIF;Juan Manuel Mata;470;1;https://www.lequipe.fr/Football/FootballFicheJoueur25540.html
x;CYCLISME_SPORTIF;David Gaudu;466;5;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur3146.html
x;FOOTBALL_SPORTIF;Ryan Giggs;461;15;https://www.lequipe.fr/Football/FootballFicheJoueur3902.html
x;FOOTBALL_SPORTIF;Hulk;456;1;https://www.lequipe.fr/Football/FootballFicheJoueur30181.html
x;FOOTBALL_SPORTIF;Alexandre Pato;451;10;https://www.lequipe.fr/Football/FootballFicheJoueur27375.html
x;BASKET_SPORTIF;Frank Ntilikina;434;2;https://www.lequipe.fr/Basket/BasketFicheJoueur8500000000009390.html
x;FOOTBALL_SPORTIF;Paul Bernardoni;431;1;https://www.lequipe.fr/Football/FootballFicheJoueur53623.html
x;BASKET_SPORTIF;Céline Dumerc;429;12;https://www.lequipe.fr/Basket/BasketFicheJoueur55869.html
x;FOOTBALL_SPORTIF;César Azpilicueta;427;3;https://www.lequipe.fr/Football/FootballFicheJoueur27678.html
x;BASKET_SPORTIF;Nikola Jokic;423;1;https://www.lequipe.fr/Basket/BasketFicheJoueur4238.html
x;VOILE_SPORTIF;CAMMAS Franck;396;1;https://www.lequipe.fr/Voile/AussiFicheAthlete58221.html
x;FOOTBALL_SPORTIF;Demba Ba;393;2;https://www.lequipe.fr/Football/FootballFicheJoueur28631.html
x;BASKET_SPORTIF;Pau Gasol;383;6;https://www.lequipe.fr/Basket/BasketFicheJoueur7631.html
x;FOOTBALL_SPORTIF;Rafael;375;4;https://www.lequipe.fr/Football/FootballFicheJoueur44391.html
x;FOOTBALL_SPORTIF;Hiroki Sakai;373;1;https://www.lequipe.fr/Football/FootballFicheJoueur44480.html
x;FOOTBALL_SPORTIF;Téji Savanier;367;2;https://www.lequipe.fr/Football/FootballFicheJoueur33063.html
x;GOLF_SPORTIF;Hideki Matsuyama;362;1;https://www.lequipe.fr/Sport/AussiFicheAthlete6000000000013400.html
x;CYCLISME_SPORTIF;Tony Gallopin;350;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur27375.html
x;CYCLISME_SPORTIF;Cadel Evans;330;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur7223.html
x;BASKET_SPORTIF;Adrien Moerman;314;1;https://www.lequipe.fr/Basket/BasketFicheJoueur30181.html
x;FOOTBALL_SPORTIF;Camille Abily;313;5;https://www.lequipe.fr/Football/FootballFicheJoueur41274.html
x;FOOTBALL_SPORTIF;Gaëtane Thiney;300;13;https://www.lequipe.fr/Football/FootballFicheJoueur41356.html
x;BASKET_SPORTIF;Rodrigue Beaubois;293;1;https://www.lequipe.fr/Basket/BasketFicheJoueur53623.html
x;FOOTBALL_SPORTIF;Gaël Clichy;290;1;https://www.lequipe.fr/Football/FootballFicheJoueur16591.html
x;BASKET_SPORTIF;Timothé Luwawu-Cabarrot;288;1;https://www.lequipe.fr/Basket/BasketFicheJoueur27678.html
x;NATATION_SPORTIF;Marie Wattel;287;1;https://www.lequipe.fr/Natation/NatationFicheAthlete5731.html
x;CYCLISME_SPORTIF;Guillaume Martin;285;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur44391.html
