ID;TYPE;LIBELLE;IMP;NB;URL
2456;BASKET_SPORTIF;Mickael Gelabale;236;1;https://www.lequipe.fr/Basket/BasketFicheJoueur2456.html
245;NATATION_SPORTIF;Roxana Maracineanu;165;4;https://www.lequipe.fr/Natation/NatationFicheAthlete245.html
24825;FOOTBALL_SPORTIF;Medhi Benatia;504;1;https://www.lequipe.fr/Football/FootballFicheJoueur24825.html
24956;GYMNASTIQUE_SPORTIF;Thomas Bouhail;35;1;https://www.lequipe.fr/Sport/AussiFicheAthlete24956.html
25427;ESCRIME_SPORTIF;Olga Kharlan;14;1;https://www.lequipe.fr/Sport/AussiFicheAthlete25427.html
25540;FOOTBALL_SPORTIF;Juan Manuel Mata;470;1;https://www.lequipe.fr/Football/FootballFicheJoueur25540.html
25656;FOOTBALL_SPORTIF;Luis Suarez;3471;2;https://www.lequipe.fr/Football/FootballFicheJoueur25656.html
25671;FOOTBALL_SPORTIF;Adel Taarabt;241;1;https://www.lequipe.fr/Football/FootballFicheJoueur25671.html
25711;FOOTBALL_SPORTIF;Gareth Bale;3312;2;https://www.lequipe.fr/Football/FootballFicheJoueur25711.html
26059;FOOTBALL_SPORTIF;Giovani Dos Santos;135;4;https://www.lequipe.fr/Football/FootballFicheJoueur26059.html
26261;FOOTBALL_SPORTIF;Scott Sinclair;54;3;https://www.lequipe.fr/Football/FootballFicheJoueur26261.html
262;JUDO_SPORTIF;David Douillet;64;4;https://www.lequipe.fr/Judo/AussiFicheAthlete262.html
26337;FOOTBALL_SPORTIF;Edinson Cavani;6277;3;https://www.lequipe.fr/Football/FootballFicheJoueur26337.html
26350;FOOTBALL_SPORTIF;Daniel Sturridge;625;8;https://www.lequipe.fr/Football/FootballFicheJoueur26350.html
2681;BASKET_SPORTIF;Luis Scola;32;2;https://www.lequipe.fr/Basket/BasketFicheJoueur2681.html
2683;TENNIS_SPORTIF;Nicolas Mahut;1789;2;https://www.lequipe.fr/Tennis/TennisFicheJoueur2683.html
2712;TENNIS_SPORTIF;Paul-Henri Mathieu;790;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur2712.html
27375;FOOTBALL_SPORTIF;Alexandre Pato;451;10;https://www.lequipe.fr/Football/FootballFicheJoueur27375.html
